_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,batterymv,status
"$$MULDER,403,20:10:56,52.11742,-1.96132,18384,5,1476,00*4188","G8KNN-1,G3ZGZ,F5APQ,G7BTI,G8ZBJ,g0nzo,M0UPU,G4MYS,HABJOE_BASE,NORB,G6GZH,G8KNN,M6EDF,DutchMillbt,M6GTG,2E0MXS,G0WXI,G4AIU,M0JCU,G6UIM",403,20:10:56,52.11742,-1.96132,18384,5,1476,0
"$$MULDER,404,20:11:16,0.00000,0.00000,0,3,1480,00*3530","g0nzo,G3ZGZ,G8DHE,G8KNN-1,G6UIM,M6EDF,G4MYS,HABJOE_BASE,NORB,G6GZH,G8KNN,DutchMillbt,F1OIL,G8ZBJ,M6GTG,2E0MXS,G0WXI,M0JCU,G4AIU,M0UPU",404,20:11:16,0.0,0.0,0,3,1480,0
"$$MULDER,405,20:11:33,52.11653,-1.95987,18544,4,1485,20*2260","G8KNN-1,G3ZGZ,G8DHE,g0nzo,M0UPU,G4MYS,G8ZBJ,NORB,G4AIU,G8KNN,M6EDF,DutchMillbt,M0JCU,2E0MXS,G0WXI,G6GZH,F5APQ,G6UIM",405,20:11:33,52.11653,-1.95987,18544,4,1485,20
"$$MULDER,406,20:11:53,52.11575,-1.95895,18626,4,1482,00*DF0A","G8KNN-1,G8DHE,DutchMillbt,M6GTG,2E0MXS,M0JCU,F5APQ,G3ZGZ,M6EDF,G4MYS,M0UPU,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,G8ZBJ,NORB,G8KNN,G6GZH",406,20:11:53,52.11575,-1.95895,18626,4,1482,0
"$$MULDER,407,20:12:13,52.11475,-1.95784,18710,5,1483,00*4297","G8KNN-1,G8DHE,SA6BSS,DutchMillbt,M0JCU,2E0MXS,F5APQ,G3ZGZ,M6EDF,G4MYS,M0UPU,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,G8ZBJ,NORB,G8KNN,G6GZH",407,20:12:13,52.11475,-1.95784,18710,5,1483,0
"$$MULDER,408,20:12:32,52.11378,-1.95701,18790,5,1481,00*0A84","G8KNN-1,G8DHE,SA6BSS,DutchMillbt,M0JCU,2E0MXS,M0UPU,G3ZGZ,NORB,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,G8ZBJ,M6EDF,G8KNN,G6GZH",408,20:12:32,52.11378,-1.95701,18790,5,1481,0
"$$MULDER,409,20:12:51,52.11252,-1.95637,18881,5,1486,00*91C5","G8KNN-1,G3ZGZ,G8DHE,G7BTI,g0nzo,0x17,M0UPU,G4MYS,G8ZBJ,NORB,G4AIU,G8KNN,F1OIL,M6EDF,DutchMillbt,M0JCU,2E0MXS,G0WXI,G6GZH,F5APQ,G6UIM",409,20:12:51,52.11252,-1.95637,18881,5,1486,0
"$$MULDER,410,20:13:10,52.11143,-1.95566,18962,5,1488,00*0218","G8KNN-1,G3ZGZ,F5APQ,G7BTI,g0nzo,0x17,G6UIM,M6EDF,G4MYS,G8ZBJ,NORB,G6GZH,G8KNN,F1OIL,DutchMillbt,M0JCU,2E0MXS,G0WXI,G4AIU,HABJOE_BASE,M0UPU",410,20:13:10,52.11143,-1.95566,18962,5,1488,0
"$$MULDER,411,20:13:30,52.11116,-1.95552,18982,5,1490,00*16D1","G8KNN-1,G8DHE,SA6BSS,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,M6EDF,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,2E0KPI,G8ZBJ,NORB,G8KNN,G6GZH",411,20:13:30,52.11116,-1.95552,18982,5,1490,0
"$$MULDER,412,20:13:49,52.10832,-1.95456,19146,5,1481,20*2535","G8KNN-1,G3ZGZ,F5APQ,G7BTI,G8ZBJ,g0nzo,0x17,M6EDF,G4MYS,M0UPU,NORB,G8KNN,DutchMillbt,F1OIL,SA6BSS,M0JCU,2E0MXS,G0WXI,G6GZH,G4AIU,G6UIM",412,20:13:49,52.10832,-1.95456,19146,5,1481,20
"$$MULDER,413,20:13:53,52.10800,-1.95456,19166,5,1481,00*9BF8","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,M0UPU,G3ZGZ,M6EDF,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,G8ZBJ,NORB,G8KNN,G6GZH",413,20:13:53,52.108,-1.95456,19166,5,1481,0
"$$MULDER,414,20:14:28,52.10550,-1.95453,19323,5,1485,20*8ED3","g0nzo,G3ZGZ,G8DHE,G8ZBJ,G8KNN-1,0x17,G6UIM,G4MYS,F5APQ,M6EDF,G4AIU,F1OIL,DutchMillbt,M0JCU,2E0MXS,G0WXI,G6GZH,HABJOE_BASE,M0UPU",414,20:14:28,52.1055,-1.95453,19323,5,1485,20
"$$MULDER,415,20:14:48,52.10398,-1.95497,19406,5,1485,00*490A","G8KNN-1,G8DHE,SA6BSS,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,NORB,G4MYS,F5APQ,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,G8ZBJ,M6EDF,G8KNN,G6GZH",415,20:14:48,52.10398,-1.95497,19406,5,1485,0
"$$MULDER,416,20:14:52,52.10373,-1.95502,19423,5,1474,00*7C17","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,M6GTG,M0UPU,G3ZGZ,G4MYS,F5APQ,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,2E0KPI,M6EDF,G6GZH",416,20:14:52,52.10373,-1.95502,19423,5,1474,0
"$$MULDER,417,20:15:26,52.10129,-1.95595,19563,5,1478,20*EDDD","HABJOE_BASE,g0nzo,G3ZGZ,G8ZBJ,PE2G,G8KNN-1,0x17,M0UPU,2E0KPI,F5APQ,NORB,G4AIU,G8KNN,DutchMillbt,G7BTI,M0JCU,2E0MXS,G0WXI,G6GZH,G4MYS,G6UIM",417,20:15:26,52.10129,-1.95595,19563,5,1478,20
"$$MULDER,418,20:15:30,52.10101,-1.95605,19579,5,1486,00*9432","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M6GTG,2E0MXS,M0JCU,M0UPU,G3ZGZ,G4MYS,F5APQ,F1OIL,G6UIM,PE2G,G0WXI,G4AIU,g0nzo,G7BTI,0x17,2E0KPI,G8ZBJ,G8KNN,G6GZH",418,20:15:30,52.10101,-1.95605,19579,5,1486,0
"$$MULDER,419,20:16:05,52.09865,-1.95719,19731,6,1488,20*A8AE","G8KNN-1,G3ZGZ,2E0MXS,G7BTI,g0nzo,0x17,M0JCU,M0UPU,G4MYS,F5APQ,G4AIU,G8KNN,DutchMillbt,F1OIL,G8ZBJ,M6GTG,2E0KPI,G0WXI,G6GZH,HABJOE_BASE,G6UIM",419,20:16:05,52.09865,-1.95719,19731,6,1488,20
"$$MULDER,420,20:16:25,52.09733,-1.95791,19811,6,1485,00*7233","G8KNN-1,G3ZGZ,G8DHE,G7BTI,G8ZBJ,g0nzo,0x17,M0JCU,G6UIM,G4MYS,HABJOE_BASE,G6GZH,G8KNN,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G4AIU,F5APQ,M0UPU",420,20:16:25,52.09733,-1.95791,19811,6,1485,0
"$$MULDER,421,20:16:29,52.09706,-1.95793,19826,5,1491,00*F2EE","G8KNN-1,G8DHE,HABJOE_BASE,DutchMillbt,M0JCU,2E0MXS,M6GTG,M0UPU,G3ZGZ,G4MYS,F5APQ,F1OIL,G6UIM,G0WXI,G4AIU,g0nzo,G7BTI,0x17,2E0KPI,G8ZBJ,G8KNN,G6GZH",421,20:16:29,52.09706,-1.95793,19826,5,1491,0
