_sentence,_receivers,sentence_id,time,latitude,longitude,altitude
"$$MM2,582,11:19:04,52.577435,00.389362,16131.1*8888","F5APQ,G4FUI,G1DYQ,2E0KPI,EDU001,PB0AHX,M0MKS,M6XIM,G8FJG_2,RevSpace,G6KWA,PE1ANS,G8TMV,G0WXI,G6GZH,PD1ODE,G0LRD",582,11:19:04,52.577435,0.389362,16131.1
"$$MM2,583,11:19:15,52.578159,00.390635,16191.7*A2A0","EDU001,PB0AHX,M0MKS,G8FJG_2,G1DYQ,PE1ANS,G0WXI",583,11:19:15,52.578159,0.390635,16191.7
"$$MM2,585,11:19:37,52.579193,00.393735,16316.5*B9A3","F5APQ,G4FUI,G8TMV,G1DYQ,M6XIM,PB0AHX,2E0KPI,M6CKD,G8FJG_2,RevSpace,G6KWA,PE1ANS,M0MKS,G0WXI,G6GZH,PD1ODE,G0LRD",585,11:19:37,52.579193,0.393735,16316.5
"$$MM2,584,11:19:26,52.578808,00.392214,16253.3*EDE9","PD1ODE,M0MKS,F5APQ,G8FJG_2,G1DYQ,2E0KPI,G0WXI,G8TMV",584,11:19:26,52.578808,0.392214,16253.3
"$$MM2,586,11:19:48,52.579540,00.395431,16378.0*763E","F5APQ,G4FUI,2E0KPI,G1DYQ,PB0AHX,G8TMV,G0LRD,G8FJG_2,G6KWA,PE1ANS,M0MKS,G0WXI,M0UPU",586,11:19:48,52.57954,0.395431,16378.0
"$$MM2,587,11:19:59,52.579788,00.397240,16440.6*1E72","G0LRD,M0UPU,G4FUI,G1DYQ,2E0KPI,EDU001,PB0AHX,G8TMV,F5APQ,G8FJG_2,RevSpace,G6KWA,PE1ANS,M6CKD,M0MKS,G0WXI,G6GZH,Northants,PD1ODE",587,11:19:59,52.579788,0.39724,16440.6
"$$MM2,588,11:20:10,52.579952,00.398914,16502.9*DA32","PB0AHX,2E0KPI,F5APQ,G8FJG_2,G1DYQ,PE1ANS,G0WXI",588,11:20:10,52.579952,0.398914,16502.9
"$$MM2,589,11:20:21,52.580032,00.400477,16565.7*613F","G0LRD,G8DHE,M6XIM,PB0AHX,M0MKS,F5APQ,G8FJG_2,G1DYQ,PE1ANS,2E0KPI,G0WXI,G6GZH,G8TMV,M0UPU",589,11:20:21,52.580032,0.400477,16565.7
"$$MM2,590,11:20:32,52.580097,00.401811,16628.2*50A6","M6XIM,G8DHE,PB0AHX,2E0KPI,F5APQ,G8FJG_2,G1DYQ,PE1ANS,G0WXI",590,11:20:32,52.580097,0.401811,16628.2
"$$MM2,593,11:21:05,52.581005,00.406041,16824.6*0688","G4FUI,PB0AHX,2E0KPI,M6XIM,G6KWA,PE1ANS,G0WXI,Northants",593,11:21:05,52.581005,0.406041,16824.6
"$$MM2,591,11:20:43,52.580387,00.402935,16691.5*4FD4","F5APQ,G8DHE,G8TMV,EDU001,M6XIM,PB0AHX,2E0KPI,G0LRD,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M0MKS,G0WXI,G6GZH,PD1ODE,M0UPU",591,11:20:43,52.580387,0.402935,16691.5
"$$MM2,592,11:20:54,52.580681,00.404347,16755.9*F44B","G0LRD,G4FUI,G8TMV,G1DYQ,EDU001,PB0AHX,M0MKS,M6XIM,G6KWA,G8FJG_2,RevSpace,PD1ODE,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,Northants,M0UPU",592,11:20:54,52.580681,0.404347,16755.9
"$$MM2,594,11:21:16,52.581352,00.407930,16885.4*D7F6","G0LRD,M6XIM,G4FUI,G8TMV,G1DYQ,EDU001,PB0AHX,2E0KPI,F5APQ,G8FJG_2,RevSpace,G6KWA,PE1ANS,M6CKD,M0MKS,G0WXI,Northants,M0UPU",594,11:21:16,52.581352,0.40793,16885.4
"$$MM2,595,11:21:27,52.581692,00.409483,16949.7*4C25","G0LRD,G4FUI,G1DYQ,EDU001,PB0AHX,M0MKS,M6XIM,G6KWA,G8FJG_2,RevSpace,PD1ODE,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,Northants,M0UPU",595,11:21:27,52.581692,0.409483,16949.7
"$$MM2,596,11:21:38,52.581818,00.410866,17013.6*893F","F5APQ,G4FUI,M0MKS,G6KWA,M6XIM,PB0AHX,G8TMV,G0LRD,G8FJG_2,RevSpace,G1DYQ,PE1ANS,2E0KPI,G0WXI,G6GZH,Northants,PD1ODE",596,11:21:38,52.581818,0.410866,17013.6
"$$MM2,597,11:21:49,52.581989,00.411880,17077.7*AA8D","M6XIM,G4FUI,G8DHE,M0MKS,EDU001,2E0KPI,F5APQ,G6KWA,M0UPU,G8FJG_2,RevSpace,G1DYQ,PE1ANS,G8TMV,G0WXI,G6GZH,PD1ODE,G0LRD",597,11:21:49,52.581989,0.41188,17077.7
"$$MM2,598,11:22:00,52.582077,00.412887,17158.8*6A13","F5APQ,G4FUI,EDU001,PB0AHX,2E0KPI,G0LRD,PD1ODE,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,M0MKS,G0WXI,G6GZH,G8TMV,M0UPU",598,11:22:00,52.582077,0.412887,17158.8
"$$MM2,599,11:22:11,52.582233,00.413788,17228.3*4CE9","G0LRD,F5APQ,G4FUI,G8DHE,Northants,M0MKS,G6KWA,PB0AHX,G8TMV,M6XIM,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,PD1ODE,M0UPU",599,11:22:11,52.582233,0.413788,17228.3
"$$MM2,600,11:22:22,52.582256,00.414440,17296.6*0650","G0LRD,G4FUI,G8DHE,Northants,EDU001,M6XIM,PB0AHX,2E0KPI,F5APQ,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M0MKS,G0WXI,G6GZH,G8TMV",600,11:22:22,52.582256,0.41444,17296.6
"$$MM2,602,11:22:44,52.582470,00.415913,17420.1*6E1F","G8DHE,G1DYQ,PB0AHX,2E0KPI,F5APQ,RevSpace,G6KWA,PE1ANS,G8TMV,G0WXI,G6GZH,Northants,PD1ODE",602,11:22:44,52.58247,0.415913,17420.1
"$$MM2,601,11:22:33,52.582386,00.414958,17359.0*54AC","G0LRD,M6XIM,G8DHE,G1DYQ,EDU001,PB0AHX,M0MKS,F5APQ,G8FJG_2,RevSpace,PE1ANS,2E0KPI,G0WXI,PD1ODE,M0UPU",601,11:22:33,52.582386,0.414958,17359.0
"$$MM2,604,11:23:06,52.583050,00.417350,17543.5*E86F","G0LRD,G4FUI,G8DHE,Northants,EDU001,PB0AHX,2E0KPI,F5APQ,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,M0MKS,G0WXI,G6GZH,G8TMV,PD1ODE",604,11:23:06,52.58305,0.41735,17543.5
"$$MM2,603,11:22:55,52.582726,00.416635,17481.5*0F88","G8DHE,PB0AHX,2E0KPI,M6XIM,G8FJG_2,G1DYQ,PE1ANS,G0WXI",603,11:22:55,52.582726,0.416635,17481.5
"$$MM2,605,11:23:17,52.583179,00.418252,17604.7*8980","G0LRD,G4FUI,G8DHE,Northants,EDU001,M6XIM,PB0AHX,2E0KPI,F5APQ,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,M0MKS,G0WXI,G6GZH,G8TMV,PD1ODE",605,11:23:17,52.583179,0.418252,17604.7
"$$MM2,606,11:23:28,52.583149,00.419037,17673.4*B7B4","M0UPU,G4FUI,G8DHE,RevSpace,PB0AHX,M0MKS,M6XIM,G6KWA,G8FJG_2,Northants,G1DYQ,PE1ANS,2E0KPI,G0WXI,G8TMV,PD1ODE",606,11:23:28,52.583149,0.419037,17673.4
