_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,294,12:08:46,52.25186,-0.09152,54,9,4.70*0441",G8KHW,294,12:08:46,52.25186,-0.09152,54,9,4.7
"$$X0,326,12:15:10,52.27533,-0.04623,1588,8,4.71*3D8B","amell,G0WXI,G6GZH,G8KHW,G8FJG_1",326,12:15:10,52.27533,-0.04623,1588,8,4.71
"$$X0,325,12:14:58,52.27389,-0.04864,1526,8,4.71*F1A3","amell,G0WXI,G6GZH,G8KHW",325,12:14:58,52.27389,-0.04864,1526,8,4.71
"$$X0,328,12:15:34,52.27822,-0.04227,1705,8,4.71*A157","amell,G0WXI,G6GZH,G8KHW,G8FJG_1",328,12:15:34,52.27822,-0.04227,1705,8,4.71
"$$X0,327,12:15:22,52.27682,-0.04427,1646,8,4.71*65D7","amell,G0WXI,G6GZH,G8KHW,G8FJG_1",327,12:15:22,52.27682,-0.04427,1646,8,4.71
"$$X0,330,12:15:58,52.28096,-0.03856,1828,8,4.71*7EAA","amell,G0WXI,G6GZH,G8FJG_1",330,12:15:58,52.28096,-0.03856,1828,8,4.71
"$$X0,334,12:16:46,52.28668,-0.03032,2087,8,4.71*B21F","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",334,12:16:46,52.28668,-0.03032,2087,8,4.71
"$$X0,329,12:15:46,52.27966,-0.04021,1769,8,4.71*40B1","amell,G0WXI,G6GZH,G8KHW,G8FJG_1",329,12:15:46,52.27966,-0.04021,1769,8,4.71
"$$X0,333,12:16:34,52.28527,-0.03228,2022,8,4.71*0B21","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",333,12:16:34,52.28527,-0.03228,2022,8,4.71
"$$X0,331,12:16:10,52.28232,-0.03639,1897,8,4.71*9DBD","amell,G0WXI,G6GZH,G8KHW,G8FJG_1",331,12:16:10,52.28232,-0.03639,1897,8,4.71
"$$X0,332,12:16:22,52.28374,-0.03433,1962,8,4.71*E5DC","amell,G8KNN,G8KHW,G8FJG_1,G0WXI,G6GZH",332,12:16:22,52.28374,-0.03433,1962,8,4.71
"$$X0,335,12:16:58,52.28816,-0.02818,2154,8,4.71*32E9","amell,G0WXI,G8KNN,G8KHW",335,12:16:58,52.28816,-0.02818,2154,8,4.71
